COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$NATURALEZA$DOMICILIO$CODPOSTAL$TELEFONO
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Colegio Público Rural$Medio Almanzora II$04601993$Pago Aljara, s/n                                                                $04800$950639912
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Conservatorio Elemental de Música$Emilia Peña$04700201$Rosario, 27                                                                     $04800$950639551
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Escuela Infantil$Albox$04009459$Poeta Juan Berbel, s/n$04800$950120089
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Escuela Municipal de Música$D.Bartolomé Marín López$04001904$Buenavista, s/n                                                                 $04800$950120908
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Instituto de Educación Secundaria$Cardenal Cisneros$04000250$de América, s/n                                                                 $04800$950639900
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Albox$Instituto de Educación Secundaria$Martín García Ramos$04005284$de la Estación, 8                                                               $04800$697951168
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Centro de Educación de Adultos$San Sebastián$04500180$Carretera, 21                                                                   $04480$950608135
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Colegio Público Rural$Alcolea-Fondón$04602092$Río de Alcolea, 1                                                               $04480$950515542
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alcolea$Escuela Infantil$Alcolea$04009460$Río Alcolea, 3$04480$950512000
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhabia$Colegio de Educación Infantil y Primaria$Juan XXIII$04000365$Calvario, 1                                                                     $04567$950156857
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Centro de Educación de Adultos$Alhama de Almería$04500039$Inmaculada, s/n                                                                 $04400$950156670
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Colegio de Educación Infantil y Primaria$Inmaculada Concepción$04000377$Alcalde Juan Martínez Rodríguez, s/n$04400$950156859
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Escuela Infantil$María del Mar Contreras Domínguez$04009423$Camino de la Fuente, s/n$04400$696840659
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Alhama de Almería$Instituto de Educación Secundaria$Cerro Milano$04700259$Gador-Laujar, s/n                                                               $04400$950156736
